SALE_DATE,TOTAL_SALES,TOTAL_QTY,TRANSACTIONS,ROLLING_7_DAY,ROLLING_30_DAY,LAG_1_DAY,LAG_7_DAY,LAG_30_DAY
2025-06-24,4609.52322,1827.0,804,5151.828760714286,5039.728493999999,3897.421206,4939.711664,4239.126931
2025-06-25,5256.98323,1951.0,841,5293.1080194285705,5093.6240963,4609.52322,4268.028419,3640.115161
2025-06-26,4577.786169,1851.0,840,5251.759344285713,5082.498814666667,5256.98323,4867.226895,4911.544618
2025-06-27,7183.934634,2561.0,1021,5125.836404142858,5182.633503566667,4577.786169,8065.395215,4179.893967
2025-06-28,5964.313073,2351.0,928,5028.433676857143,5224.210816333333,7183.934634,6646.132164,4716.99369
2025-06-29,4024.60328,1653.0,749,5073.509258857142,5090.8937963,5964.313073,3709.074206,8024.113881
2025-06-30,4174.089762,1690.0,734,5113.033338285714,5041.530027333333,4024.60328,3897.421206,5655.002831
2025-07-01,5335.8782949999995,1886.0,839,5216.798349,5084.915758766667,4174.089762,4609.52322,4034.306352
2025-07-02,5807.624904,1760.0,773,5295.461445285714,5132.202024033333,5335.8782949999995,5256.98323,4389.036946
2025-07-03,4104.849916,1659.0,779,5227.899123428571,5082.9531323,5807.624904,4577.786169,5582.316668
2025-07-06,13951.19123,5560.0,2339,6194.650065714285,5407.001342533334,4104.849916,7183.934634,4229.744923
2025-07-07,4358.161383,1768.0,788,5965.199824285714,5399.251207566666,13951.19123,5964.313073,4590.665432
2025-07-08,4780.101275,1817.0,805,6073.128109285714,5326.477144433333,4358.161383,4024.60328,6963.323169
2025-07-09,4288.33463,1780.0,768,6089.448804714286,5294.086790366667,4780.101275,4174.089762,5260.045252
2025-07-10,4871.12677,1954.0,838,6023.055729714286,5339.567981733333,4288.33463,5335.8782949999995,3506.691029
2025-07-11,6404.306338,2332.0,907,6108.295934571428,5407.1714968999995,4871.12677,5807.624904,4376.2008829999995
2025-07-12,7159.386622,2672.0,974,6544.658321142857,5464.714261233335,6404.306338,4104.849916,5433.103692
2025-07-13,3938.741491,1756.0,801,5114.308358428571,5448.421790933334,7159.386622,13951.19123,4427.5156
2025-07-14,3950.574933,1538.0,669,5056.081722714285,5419.720177933333,3938.741491,4358.161383,4811.623323
2025-07-15,4273.884904,1753.0,753,4983.765098285714,5298.875104766667,3950.574933,4780.101275,7899.237099
2025-07-16,4274.789637,1701.0,767,4981.830099285714,5257.511769566667,4273.884904,4288.33463,5515.689693
2025-07-17,4146.891232,1820.0,822,4878.367879571429,5276.347994833334,4274.789637,4871.12677,3581.804474
